metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.0,pool,HikariPool-1,False
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,pool,HikariPool-1,False
