metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,gc,G1 Young Generation
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause,G1 Evacuation Pause
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,action,end of minor GC
jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,gc,G1 Young Generation
